	headline	url	date
0	"
Στα 11.629 τα νέα κρούσματα κορωνοϊού - 26 θάνατοι και 98 διασωληνωμένοι
"	https://www.protothema.gr/koronoios-live/article/1260920/koronoios-sta-11629-ta-nea-krousmata-26-thanatoi-kai-98-diasolinomenoi/	2022-07-03T15:37:00+03:00
1	"
Ισχυρή σύσταση από την Παγώνη: «Μην ξεχνάτε τις μάσκες, είχαμε 300 εισαγωγές σε ένα 24ωρο»
"	https://www.protothema.gr/koronoios-live/article/1260778/koronoios-pagoni-min-xehnate-tis-maskes-eihame-300-eisagoges-se-ena-24oro/	2022-07-02T18:41:00+03:00
2	"
Στα 15.839 τα νέα κρούσματα, 22 θάνατοι, 95 διασωληνωμένοι
"	https://www.protothema.gr/koronoios-live/article/1260738/koronoios-sta-15839-ta-nea-krousmata-22-thanatoi-95-diasolinomenoi/	2022-07-02T15:48:00+03:00
3	"
Το σοβαρό άσθμα δεν δείχνει να επιβαρύνει τη λοίμωξη Covid, σύμφωνα με ελληνική έρευνα
"	https://www.protothema.gr/koronoios-live/article/1260710/koronoios-to-sovaro-asthma-den-deihnei-na-epivarunei-ti-loimoxi-covid-sumfona-me-elliniki-ereuna/	2022-07-02T14:19:00+03:00
4	"
Στην  Ιταλία ο ενεργός αριθμός αναπαραγωγής (Rt) του νέου κορωνοϊού αυξήθηκε για 4η συναπτή εβδομάδα
"	https://www.protothema.gr/koronoios-live/article/1260609/italia-o-energos-arithmos-anaparagogis-rt-tou-neou-koronoiou-auxithike-gia-4i-sunapti-evdomada/	2022-07-02T05:57:40+03:00
5	"
Η Βόρεια Κορέα κατηγορεί για το ξέσπασμα της Covid «ξένους» και μπαλόνια από τη Νότια Κορέα 
"	https://www.protothema.gr/koronoios-live/article/1260603/voreia-korea-katigorei-gia-to-xespasma-tis-covid-xenous-kai-balonia-apo-ti-notia-korea/	2022-07-02T02:42:00+03:00
6	"
Στα 15.869 τα νέα κρούσματα, 14 θάνατοι, 95 διασωληνωμένοι
"	https://www.protothema.gr/koronoios-live/article/1260443/koronoios-15869-krousmata-14-thanatoi-95-diasolinomenoi/	2022-07-01T15:53:00+03:00
7	"
Στο «κόκκινο» ξανά το ιικό φορτίο των λυμάτων στη Θεσσαλονίκη
"	https://www.protothema.gr/koronoios-live/article/1260365/koronoios-thessaloniki-sto-kokkino-xana-to-iiko-fortio-ton-lumaton/	2022-07-01T12:55:00+03:00
8	"
«Καμπανάκι» από τέσσερις ειδικούς - Μέσα Ιουλίου η κορύφωση των κρουσμάτων, «πρέπει να πάρουμε μέτρα… χθες»
"	https://www.protothema.gr/koronoios-live/article/1260340/kabanaki-apo-eidikous-gia-tin-nea-exarsi-tou-koronoiou-mesa-iouliou-i-ko/	2022-07-01T11:58:00+03:00
9	"
Διήμερο υψηλού πυρετού προκαλούν οι υποπαραλλαγές 04 και 05, λέει η Παγώνη
"	https://www.protothema.gr/koronoios-live/article/1260237/pagoni-gia-koronoio-diimero-upsilou-puretou-prokaloun-oi-upoparallages-04-kai-05/	2022-07-01T08:35:00+03:00
10	"
«Καμπανάκι» από τον Παγκόσμιο Οργανισμό Υγείας για την Ευρώπη: Κοντά στα 500.000 τα ημερήσια κρούσματα
"	https://www.protothema.gr/koronoios-live/article/1260121/kabanaki-apo-ton-pagosmio-organismo-ugeias-gia-tin-europi-koda-sta-500000-ta-imerisia-krousmata/	2022-06-30T19:52:00+03:00
11	"
Θεοδωρίδου: Το εμβόλιο που θα καλύπτει όλες τις μεταλλάξεις θα αργήσει -  Να κάνουν την 4η δόση οι άνω των 60 με υποκείμενα νοσήματα
"	https://www.protothema.gr/koronoios-live/article/1260029/theodoridou-to-emvolio-pou-tha-kaluptei-oles-tis-metallaxeis-tha-argisei/	2022-06-30T18:01:00+03:00
12	"
Στα 15.498 τα νέα κρούσματα κορωνοϊού, 13 θάνατοι και 97 διασωληνωμένοι
"	https://www.protothema.gr/koronoios-live/article/1260018/koronoios-15498-krousmata-13-thanatoi-kai-97-diasolinomenoi/	2022-06-30T15:38:00+03:00
13	"
Εξαδάκτυλος για τέταρτη δόση εμβολίου: Η συμβουλή για τις ηλικίες 30 ως 60 πρέπει να είναι ατομική
"	https://www.protothema.gr/koronoios-live/article/1259973/exadaktulos-gia-tetarti-dosi-emvoliou-i-sumvouli-gia-tis-ilikies-30-os-60-prepei-na-einai-atomiki/	2022-06-30T13:42:00+03:00
14	"
Σε δύο με τρεις εβδομάδες η αποκλιμάκωση στα κρούσματα κορωνοϊού, λέει ο Πλεύρης
"	https://www.protothema.gr/koronoios-live/article/1259963/pleuris-se-duo-me-treis-evdomades-i-apoklimakosi-sta-krousmata-koronoiou/	2022-06-30T13:13:08+03:00
15	"
Ατσαλάκης: Πιθανή μια νέα παραλλαγή του κορωνοϊού σε δύο με τρεις μήνες
"	https://www.protothema.gr/koronoios-live/article/1259901/atsalakis-pithani-mia-nea-parallagi-tou-koronoiou-se-duo-me-treis-mines/	2022-06-30T11:20:00+03:00
16	"
Τέλη Ιουλίου αναμένεται η κορύφωση του νέου κύματος κορωνοϊού στη Γαλλία
"	https://www.protothema.gr/koronoios-live/article/1259886/koronoios-gallia-teli-iouliou-anamenetai-i-korufosi-tou-neou-kumatos/	2022-06-30T10:53:00+03:00
17	"
Βρίσκει νέους τρόπους για να «ξεγλιστρήσει» από το αντιικό Paxlovid της Pfizer ο κορωνοϊός
"	https://www.protothema.gr/koronoios-live/article/1259878/koronoios-vriskei-neous-tropous-gia-na-xeglistrisei-apo-to-adiiko-paxlovid-tis-pfizer/	2022-06-30T10:31:48+03:00
18	"
Διευκρινίσεις για την τέταρτη δόση στην σημερινή έκτακτη ενημέρωση για τον εμβολιασμό
"	https://www.protothema.gr/koronoios-live/article/1259855/koronoios-ektakti-enimerosi-gia-ton-emvoliasmo-to-apogeuma/	2022-06-30T09:38:00+03:00
19	"
Να λάβουμε μέτρα πριν γίνει τσουνάμι το 6ο κύμα της πανδημίας, λέει ο Καπραβέλος
"	https://www.protothema.gr/koronoios-live/article/1259814/kapravelos-gia-koronoio-to-ekto-kuma-irthe-noritera-metra-prin-ginei-tsounami/	2022-06-30T08:21:00+03:00
20	"
Γάτα φτερνίστηκε στο πρόσωπο κτηνιάτρου και την κόλλησε Covid-19 - Είναι η πρώτη περίπτωση παγκοσμίως
"	https://www.protothema.gr/koronoios-live/article/1259812/koronoios-vrethike-i-proti-periptosi-gatas-pou-molune-anthropo/	2022-06-30T08:12:00+03:00
21	"
Στα 16.115 τα νέα κρούσματα, 9 θάνατοι, 95 οι διασωληνωμένοι
"	https://www.protothema.gr/koronoios-live/article/1259662/sta-16115-ta-nea-krousmata-9-thanatoi-95-oi-diasolinomenoi/	2022-06-29T17:58:00+03:00
